CODE CPV;DE Label;EN Label;ES Label;FR Label;PT Label;Short Code
37312300-1;Sousafone;Sousaphones;Sousafones;Soubassophones;Sousafones;37312300
37312600-4;Bügelhörner und Kornette;Bugles;Clarines;Bugles;Clarins;37312600
37313800-3;Violoncellos;Violoncellos;Violonchelos;Violoncelles;Violoncelos;37313800
37316000-6;Schlaginstrumente;Percussion instruments;Instrumentos de percusión;Instruments à percussion;Instrumentos musicais de percussão;37316000
37321000-4;Zubehör für Musikinstrumente;Accessories of musical instruments;Accesorios de instrumentos musicales;Accessoires pour instruments de musique;Acessórios para instrumentos musicais;37321000
37411130-2;Skistöcke;Ski poles;Palos de esquí;Bâtons de ski;Bastões de esqui;37411130
37412340-4;Schwimmbrillen, Schwimmflossen;Swim goggles or swim fins;Gafas y aletas de natación;Lunettes ou palmes de natation;Óculos ou barbatanas para natação;37412340
37413210-1;Wildlocker;Animal calls;Reclamos;Appeaux;Apitos para chamar animais;37413210
37423300-2;Kletterzubehör;Gymnastic climbing accessories;Accesorios para escalada gimnástica;Espaliers de gymnastique;Acessórios para escalada desportiva;37423300
37431000-8;Boxringe;Boxing rings;Cuadriláteros de boxeo;Rings de boxe;Ringues para boxe;37431000
37440000-4;Fitnessgeräte;Fitness equipments;Equipo para el ejercicio físico;Équipement de culture physique;Equipamentos para preparação física (fitness);37440000
37451500-9;Lacrosse-Schläger;Lacrosse sticks;Palos de lacrosse;Bâtons du jeu de crosse;Aléus de lacrosse;37451500
37452120-8;Badmintonschläger;Badminton rackets;Raquetas de bádminton;Raquettes de badminton;Raquetes de badmínton;37452120
37453000-8;Leichtathletikausrüstung;Track sports equipment;Equipo de atletismo;Équipement d'athlétisme;Equipamento para desportos de pista;37453000
37462400-8;Trapshooting-Ausrüstung;Trapshooting equipment;Equipo para tiro al plato;Équipement de tir au pigeon;Equipamento para tiro aos pratos;37462400
37513100-8;Marionettentheater;Puppet theatres;Teatros de títeres;Théâtres de marionnettes;Teatros de fantoches;37513100
37524200-9;Brettspiele;Board games;Juegos de tablero;Jeux de table;Jogos de mesa;37524200
37535290-6;Ausrüstung für Kletterwand und Seilklettern;Wall and rope climbing equipment;Equipo para trepar muros y cuerdas;Équipement pour l'escalade ou le grimper à la corde;Equipamento para escalada de paredes e à corda;37535290
37823900-2;Kraftliner;Kraftliner;"Papel para caras (cubiertas) (""kraftliner"")";Papier kraft;Papel kraft para cobertura;37823900
38123000-3;Niederschlag- oder Verdunstungsschreiber;Precipitation or evaporation recorders;Aparatos de registro de precipitaciones o evaporación;Enregistreurs de précipitations ou d'évaporation;Registadores de precipitação ou evaporação;38123000
38280000-1;Gravimeter;Gravimeters;Gravímetros;Gravimètres;Gravímetros;38280000
38295000-9;Topografische Ausrüstung;Topography equipment;Equipo topográfico;Matériel de topographie;Equipamento para topografia;38295000
38341310-3;Amperemeter;Ammeters;Amperímetros;Ampèremètres;Amperímetros;38341310
38341500-2;Ausrüstung für Kontaminationsüberwachung;Contamination-monitoring devices;Aparatos para el control de la contaminación;Système de surveillance de la contamination;Aparelhos para controlo da contaminação;38341500
38423100-7;Manometer;Pressure gauges;Manómetros;Indicateurs de pression;Controladores de pressão;38423100
38436150-6;Petrischalenhalter für Rüttler;Petri dish stand for shakers;Soportes de placas de Petri para agitadores;Porte-boîtes de Petri pour agitateurs;Suporte de placas de Petri para agitadores;38436150
38550000-5;Zähler;Meters;Contadores;Compteurs;Contadores;38550000
38621000-4;Lichtwellenleitergeräte;Fibre-optic apparatus;Aparatos de fibra óptica;Appareils à fibres optiques;Aparelhos de fibra óptica;38621000
38632000-4;Nachtferngläser;Nightglasses;Gafas para visión nocturna;Lunettes de vision nocturne;Sistemas para visão nocturna;38632000
38651300-6;Kameras zum Herstellen von Druckplatten oder Druckformzylindern;Cameras for preparing printing plates or cylinders;Cámaras para la preparación de clisés o cilindros de imprenta;Appareils de reproduction pour la préparation de plaques ou de cylindres d'impression;Máquinas fotográficas para preparação de clichés ou cilindros de impressão;38651300
38652120-7;Videoprojektoren;Video projectors;Videoproyectores;Vidéoprojecteurs;Videoprojectores;38652120
38931000-0;Temperatur- und Luftfeuchtigkeitsprüfer;Temperature humidity testers;Comprobadores de temperatura y humedad;Appareils de contrôle de l'humidité et de la température;Dispositivos para ensaio de temperatura e humidade;38931000
38941000-7;Alphazähler;Alpha counters;Contadores alfa;Compteurs alpha;Contadores de radiações alfa;38941000
38943000-7;Betazähler;Beta counters;Contadores beta;Compteurs beta;Contadores de radiações beta;38943000
39132100-7;Aktenschränke;Filing cabinets;Archivadores;Armoires de classement;Armários para classificação;39132100
39141100-3;Schränke und Regale;Shelves;Estantes;Étagères;Estantes;39141100
39224200-0;Bürsten;Brushes;Cepillos;Brosses;Escovas;39224200
39292400-9;Schreibgeräte;Writing instruments;Utensilios de escritura;Instruments d'écriture;Instrumentos para escrever;39292400
39315000-3;Restaurantausrüstung;Restaurant equipment;Equipo de restaurante;Équipement de restaurant;Equipamento para restaurante;39315000
39512000-4;Bettwäsche;Bed linen;Ropa de cama;Linge de lit;Roupa de cama;39512000
39514200-0;Trockentücher;Tea towels;Paños de vajilla;Torchons;Toalhas de chá;39514200
39522530-1;Zelte;Tents;Tiendas de campaña;Tentes;Tendas;39522530
39531300-6;Getuftete textile Fußbodenbeläge;Tufted carpeting;Alfombrado de pelo insertado;Revêtement de sol touffeté;Tapetes tufados;39531300
39712200-8;Geräte zur Haarpflege;Hairdressing appliances;Aparatos de peluquería;Appareils de coiffure;Aparelhos para cabeleireiro;39712200
39715000-7;"Warmwasserbereiter und Heizung für Gebäude; Sanitäreinrichtungen";"Water heaters and heating for buildings; plumbing equipment";"Calentadores de agua y calefacción para edificios; equipo de instalación sanitaria";"Chauffe-eau et chauffage de bâtiment; équipement de plomberie";"Aquecedores de água e aquecimento central para edifícios; equipamento para canalização";39715000
39833000-0;Produkte für die Staubreinigung;Anti-dust products;Productos contra el polvo;Produits antipoussière;Produtos anti-pó;39833000
42113172-0;Laufschaufeln;Blades;Álabes;Lames;Pás de rotores;42113172
42124320-3;Teile für Vakuumpumpen;Parts of vacuum pumps;Partes de bombas de vacío;Pièces pour pompes à vide;Peças para bombas de vácuo;42124320
42131390-6;Ventilanordnungen;Assemblies of valves;Conjuntos de válvulas;Assemblages de vannes;Montagens de válvulas;42131390
42141200-1;Lagergehäuse;Bearing housings;Cajas de cojinetes;Boîtes de roulements;Caixas de mancal;42141200
42141800-7;Kardangelenke;Universal joints;Juntas de articulación;Joints cardan;Juntas universais;42141800
42214110-3;Grills;Grills;Parrillas;Grils;Grelhadores;42214110
42320000-5;Abfallverbrennungsöfen;Waste incinerators;Incineradores de residuos;Incinérateurs de déchets;Incineradores de resíduos;42320000
42411000-0;Flaschenzüge und Hebezeuge;Pulley tackle and hoists;Polipastos y elevadores;Palans et treuils;Talhas e guinchos;42411000
42412120-4;Winden für den Untertagebergbau;Winches for use underground;Tornos para el interior de las minas;Treuils à usage souterrain;Guinchos para uso subterrâneo;42412120
42418500-4;Mechanische Förderausrüstung;Mechanical handling equipment;Equipo mecánico de manipulación;Équipement mécanique de manutention;Equipamento mecânico para manuseamento;42418500
42513000-5;Kühl- und Tiefkühlvorrichtungen;Refrigerating and freezing equipment;Equipos de refrigeración y congelación;Matériel de réfrigération et de congélation;Equipamento de refrigeração e congelação;42513000
42663000-1;Maschinen zum Oberflächenhärten;Surface tempering machines;Máquina para templado de superficies;Machines pour la trempe superficielle;Máquinas para têmpera superficial;42663000
42713000-7;Webmaschinen;Weaving machines;Telares;Métiers à tisser;Teares;42713000
42924790-3;Geruchsneutralisierungsgeräte;Odour-masking apparatus;Aparatos para enmascarar olores;Appareils de désodorisation;Aparelhos desodorizantes;42924790
42958000-6;Gewichte für Wiegemaschinen;Weights for weighing machines;Pesas para máquinas de pesaje;Poids pour machines de pesage;Pesos para máquinas de pesar;42958000
42968000-9;Spender;Dispensers;Distribuidores;Distributeurs;Distribuidores;42968000
42975000-1;Teile für Verpackungsanlagen;Parts of wrapping machines;Partes de envolvedoras;Pièces pour machines de conditionnement;Peças para máquinas de embalar;42975000
42993000-3;Maschinen für die chemische Industrie;Chemical industry machinery;Maquinaria para la industria química;Machines pour l'industrie chimique;Máquinas para a indústria química;42993000
42996400-8;Mischmaschinen;Mixer units;Mezcladores;Mélangeurs;Unidades misturadoras;42996400
42997200-3;Maschinen für die Reinigung von Rohrleitungsinnenflächen;Machines for cleaning the internal surface of pipelines;Máquinas para la limpieza de la superficie interior de conducciones;Machines de nettoyage de la surface intérieure de pipelines;Máquinas para limpeza interna de condutas de longa distância;42997200
43212000-2;Planierpflüge;Angle-dozers;Empujadoras de ángulo;Bouteurs biais;Angledozers;43212000
43311000-6;Rammen;Pile drivers;Martinetes;Sonnettes de battage;Bate-estacas;43311000
43316000-1;Kabelverlegemaschinen;Cable-laying machinery;Máquinas para tendido de cables;Machines pour la pose de câbles;Máquinas para colocação de cabos;43316000
43324100-1;Einrichtungen für Schwimmbecken;Equipment for swimming pools;Equipo para piscinas;Équipement de piscine;Equipamento para piscinas;43324100
44111100-2;Ziegel;Bricks;Ladrillos;Briques;Tijolos;44111100
44111520-2;Wärme-Isolierstoffe;Thermal insulating material;Material aislante térmico;Matériaux d'isolation thermique;Material de isolamento térmico;44111520
44113330-7;Beschichtungsstoffe;Coating materials;Materiales de recubrimiento;Produits d'enrobage;Materiais para revestimento;44113330
44170000-2;Zu Baustoffen gehörige Platten, Bleche, Streifen und Folien;Plates, sheets, strip and foil related to construction materials;Planchas, hojas, bandas y láminas relacionadas con materiales de construcción;Plaques, tôles, bandes et feuilles connexes aux matériaux de construction;Placas, chapas, faixas e lâminas relacionadas com materiais de construção;44170000
44212100-0;Brücke;Bridge;Puente;Pont;Ponte;44212100
44212260-9;Funk- oder Fernsehmasten;Radio or television masts;Mástiles de antena de radio o de televisión;Pylônes de radio ou de télévision;Mastros para antenas de televisão ou de rádio;44212260
44212262-3;Fernsehmasten;Television masts;Mástiles de antena de televisión;Pylônes de télévision;Mastros para antenas de televisão;44212262
44212263-0;Gittermasten;Lattice masts;Mástiles de celosía;Mâts en treillis;Mastros reticulares;44212263
44212320-8;Diverse Konstruktionen;Miscellaneous structures;Estructuras diversas;Structures diverses;Estruturas diversas;44212320
44221110-9;Fensterrahmen;Window frames;Marcos para ventana;Encadrements de fenêtres;Caixilhos para janelas;44221110
44221400-9;Fensterläden;Shutters;Contraventanas;Volets;Postigos;44221400
44421700-4;Kassetten und Schließfächer;Boxes and lockers;Cajas y taquillas;Consignes et coffres;Caixas e cacifos;44421700
44423810-2;Gummistempel;Rubber stamps;Sellos de caucho;Timbres en caoutchouc;Carimbos de borracha;44423810
44423850-4;Formstücke;Shapes;Formas;Formes;Formas;44423850
44424100-9;Zählerkastengehäuse;Meter-housing boxes;Cajas para contadores;Coffrets-compteurs;Armários para contadores;44424100
44425100-6;Gummiringe;Elastic rings;Arandelas elásticas;Anneaux élastiques;Aros elásticos;44425100
44425500-0;Kunststoffstäbe;Plastic sticks;Barras de plástico;Baguettes en plastique;Varetas de plástico;44425500
44514200-8;Werkzeugteile;Tool parts;Piezas de herramientas;Pièces d'outils;Partes de ferramentas;44514200
44523200-4;Beschlagteile;Mountings;Guarniciones;Ferrures;Guarnições;44523200
44523300-5;Beschläge;Fittings;Accesorios;Raccords;Acessórios;44523300
44621110-3;Heizkörper für Zentralheizungen;Central-heating radiators;Radiadores para calefacción central;Radiateurs pour chauffage central;Radiadores para aquecimento central;44621110
44831200-6;Füllstoffe;Fillers;Plastes de relleno;Matières de charge;Betumes;44831200
44912300-9;Basalt;Basalt;Basalto;Basalte;Basalto;44912300
45110000-1;Abbruch von Gebäuden sowie allgemeine Abbruch- und Erdbewegungsarbeiten;Building demolition and wrecking work and earthmoving work;Trabajos de demolición de inmuebles y movimiento de tierras;Travaux de démolition de bâtiments et travaux de terrassement;Demolição e destruição de edifícios e movimento de terras;45110000
45112100-6;Grabenaushub;Trench-digging work;Trabajos de excavación de zanjas;Travaux de creusement de tranchées;Escavação de valas;45112100
45112700-2;Landschaftsgärtnerische Arbeiten;Landscaping work;Trabajos de paisajismo;Travaux d'aménagement paysager;Trabalhos de paisagismo;45112700
45212190-4;Sonnenschutzarbeiten;Sun-protection works;Obras de protección contra el sol;Ouvrages de protection contre le soleil;Obras de protecção contra o sol;45212190
45212314-0;Bau von historischen Monumenten oder Gedächtnismalen;Historical monument or memorial construction work;Trabajos de construcción de monumentos históricos o conmemorativos;Travaux de construction de monuments historiques ou de mémoriaux;Construção de monumento ou memorial histórico;45212314
45213250-0;Bauarbeiten für Industriebauten;Construction work for industrial buildings;Trabajos de construcción de edificios industriales;Travaux de construction de bâtiments industriels;Construção de edifícios industriais;45213250
45213333-6;Einbau von Flughafen-Abfertigungsschaltern;Installation works of airport check-in counters;Trabajos de instalación de mostradores de facturación de aeropuertos;Travaux d' installation de comptoirs d'enregistrement d'aéroport;Instalação de balcões de registo em aeroporto;45213333
45216100-5;Bauarbeiten an Gebäuden für öffentliche Einrichtungen oder für Not- und Rettungsdienste;Construction work for buildings relating to law and order or emergency services;Trabajos de construcción de edificios relacionados con los servicios de orden público o servicios de emergencia;Travaux de construction de bâtiments destinés aux institutions d'ordre public ou aux services de secours;Construção de edifícios destinados às forças policiais ou aos serviços de emergência;45216100
45221211-4;Straßenunterführung;Underpass;Paso inferior;Passage inférieur;Passagem inferior;45221211
45223310-2;Bau von Tiefgaragen;Underground car park construction work;Trabajos de construcción de estacionamientos subterráneos;Travaux de construction de parkings souterrains;Construção de parque de estacionamento subterrâneo;45223310
45230000-8;"Bauarbeiten für Rohrleitungen, Fernmelde- und Stromleitungen, für Autobahnen, Straßen, Flugplätze und Eisenbahnen; Nivellierungsarbeiten";"Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork";"Trabajos de construcción de tuberías, líneas de comunicación y líneas de conducción eléctrica, de autopistas, carreteras, aeródromos y vías férreas; trabajos de explanación";"Travaux de construction de pipelines, de lignes de communication et d'énergie, d'autoroutes, de routes, d'aérodromes et de voies ferrées; travaux de nivelage";"Construção de condutas de longa distância, de linhas para comunicação e transporte de energia, vias rápidas, estradas, aeródromos e vias férreas; nivelamento do terreno";45230000
45232331-1;Mit Rundfunkübertragungen verbundene Arbeiten;Ancillary works for broadcasting;Obras auxiliares para radiodifusión;Ouvrages annexes de télédiffusion;Obras anexas relacionadas com radiodifusão;45232331
45232424-0;Bau von Abwasserausmündungsstellen;Sewage outfall construction work;Trabajos de construcción de descarga de aguas residuales;Travaux de construction d'émissaires;Construção de canal de descarga final de esgotos;45232424
45232431-2;Abwasserpumpstation;Wastewater pumping station;Estación de bombeo de aguas residuales;Station de pompage des eaux résiduaires;Estação de bombagem de águas residuais;45232431
45247120-7;Wasserstraßen, außer Kanälen;Waterways except canals;Vías acuáticas, excepto canales;Voies navigables, excepté canaux;Vias navegáveis excepto canais;45247120
45247130-0;Bau von Aquädukten;Aqueduct construction work;Trabajos de construcción de acueductos;Travaux de construction d'aqueducs;Construção de aqueduto;45247130
45252125-0;Steinschüttungsarbeiten;Rock-dumping work;Trabajos de descarga de rocas;Travaux d'enrochement;Descarregamento de rochas;45252125
45252200-0;Einrichtungen für Reinigungsanlagen;Purification plant equipment;Equipo de planta depuradora;Matériel pour installation de purification;Equipamento para estações depuradoras;45252200
45255500-4;Bohrungs- und Explorationsarbeiten;Drilling and exploration work;Trabajos de perforación y de exploración;Travaux de forage et d'exploration;Trabalhos de perfuração e prospecção;45255500
45259000-7;Reparatur und Wartung von Anlagen;Repair and maintenance of plant;Reparación y mantenimiento de instalaciones;Réparation et entretien d'équipements;Reparação e manutenção de instalações;45259000
45261400-8;Verschalungsarbeiten;Sheeting work;Trabajos de revestimiento;Travaux de revêtement;Obras de revestimento isolador;45261400
45312100-8;Installation von Brandmeldeanlagen;Fire-alarm system installation work;Instalación de sistemas de alarma contra incendios;Travaux d'installation de systèmes avertisseurs d'incendie;Instalação de sistemas de alarme contra incêndio;45312100
45313100-5;Installation von Aufzügen;Lift installation work;Instalación de ascensores;Travaux d'installation d'ascenseurs;Instalação de elevadores;45313100
45315100-9;Elektrotechnikinstallation;Electrical engineering installation works;Trabajos de instalación de ingeniería eléctrica;Installations électrotechniques;Instalação de material eléctrico e electrónico;45315100
45315700-5;Installation von Schaltanlagen;Switching station installation work;Instalación de puestos de seccionamiento;Travaux d'installation de postes de sectionnement;Instalação de postos de seccionamento;45315700
45316210-0;Installation von Verkehrsüberwachungseinrichtungen;Installation of traffic monitoring equipment;Instalación de equipo de control del tráfico;Installation de matériel de contrôle du trafic routier;Instalação de equipamento de controlo do tráfego;45316210
45331200-8;Installation von Lüftungs- und Klimaanlagen;Ventilation and air-conditioning installation work;Trabajos de instalación de ventilación y aire acondicionado;Travaux d'installation de matériel de ventilation et de climatisation;Instalação de ventilação e de ar condicionado;45331200
45421148-3;Einbau von Toren;Installation of gates;Instalación de verjas;Installation de portails;Instalação de portões;45421148
45442000-7;Auftrag von Schutzanstrichen;Application work of protective coatings;Aplicación de recubrimiento protector;Travaux d'application de revêtements de protection;Aplicação de revestimentos protectores;45442000
48217300-5;Softwarepaket für die Transaktionsverarbeitung in Microcomputern;Microcomputer transaction processing software package;Paquetes de software de proceso de transacciones para microordenadores;Logiciels de traitement des transactions de micro-ordinateur;Pacote de software para processamento de transacções em microcomputador;48217300
48810000-9;Informationssysteme;Information systems;Sistemas de información;Systèmes d'information;Sistemas de informação;48810000
48813200-2;Systeme zur Echtzeit-Passagierinformation;Real-time passenger information system;Sistema de información a los pasajeros en tiempo real;Système d'information des passagers en temps réel;Sistema de informação de passageiros em tempo real;48813200
48821000-9;Netzwerkserver;Network servers;Servidores de red;Serveurs de réseau;Servidores de rede;48821000
50115000-4;Reparatur und Wartung von Motorrädern;Repair and maintenance services of motorcycles;Servicios de reparación y mantenimiento de motocicletas;Services de réparation et d'entretien de motos;Serviços de manutenção e reparação de motociclos;50115000
50230000-6;Reparatur, Wartung und zugehörige Dienste in Verbindung mit Straßen und anderen Einrichtungen;Repair, maintenance and associated services related to roads and other equipment;Servicios de reparación, mantenimiento y servicios asociados relacionados con carreteras y otros equipos;Services de réparation, d'entretien et services connexes relatifs au transport routier et à d'autres équipements;Serviços de reparação e manutenção e serviços conexos relacionados com estradas e outros equipamentos;50230000
50232100-1;Wartung von Straßenbeleuchtungen;Street-lighting maintenance services;Servicios de mantenimiento de alumbrado público de calles;Services d'entretien de l'éclairage public;Serviços de manutenção de iluminação rodoviária;50232100
50323200-7;Reparatur von Computerperipheriegeräten;Repair of computer peripherals;Reparación de periféricos informáticos;Réparation de périphériques d'ordinateur;Reparação de periféricos;50323200
50413100-4;Reparatur und Wartung von Gasspürgeräten;Repair and maintenance services of gas-detection equipment;Servicios de reparación y mantenimiento de equipos detectores de gas;Services de réparation et d'entretien de matériel de détection de gaz;Serviços de reparação e manutenção de equipamento para detecção de gás;50413100
50883000-8;Reparatur und Wartung von Verpflegungseinrichtungen;Repair and maintenance services of catering equipment;Servicios de reparación y mantenimiento de equipo de catering;Services de réparation et d'entretien de matériel de restauration;Serviços de reparação e manutenção de equipamento para fornecimento de refeições (catering);50883000
55330000-2;Dienstleistungen von Cafeterias;Cafeteria services;Servicios de cafetería;Services de cafétéria;Serviços de cafetaria;55330000
55520000-1;Verpflegungsdienste;Catering services;Servicios de suministro de comidas desde el exterior;Services traiteur;Serviços de fornecimento de refeições (catering);55520000
55521200-0;Auslieferung von Mahlzeiten;Meal delivery service;Servicios de entrega de comidas;Services de livraison de repas;Serviços de entrega de refeições;55521200
60444000-2;Betrieb von Flugzeugen;Aircraft-operation services;Servicios de explotación de aeronaves;Services d'exploitation d'aéronefs;Serviços de operação de aeronaves;60444000
63724310-6;Kennzeichnung mit Bojen;Buoy marking services;Servicios de balizado con boyas;Services de balisage;Serviços de marcação com bóias;63724310
64111000-7;Postdienste im Zusammenhang mit Zeitungen und Zeitschriften;Postal services related to newspapers and periodicals;Servicios postales relacionados con periódicos y revistas;Services postaux relatifs aux journaux et aux périodiques;Serviços postais relacionados com jornais e publicações periódicas;64111000
64122000-7;Interne Bürobotendienste;Internal office mail and messenger services;Servicios de correo interno;Services de courrier et de messagerie interne des administrations;Serviços de correio interno;64122000
64211200-0;Fernsprechdienste für Ferngespräche;Long distance telephone services;Servicios de telefonía de larga distancia;Services de téléphonie interurbaine;Serviços telefónicos de longa distância;64211200
65400000-7;Andere Energieversorgungsquellen;Other sources of energy supplies and distribution;Otras fuentes de aprovisionamiento y distribución de energía;Autres sources d'approvisionnement en énergie et leur distribution;Aprovisionamento e distribuição de outras fontes de energia;65400000
66180000-5;Währungsumtausch;Foreign exchange services;Servicios de cambio de divisas;Services de change;Serviços de câmbio de divisas;66180000
66512100-3;Unfallversicherungen;Accident insurance services;Servicios de seguros de accidentes;Services d'assurance accidents;Serviços de seguros de acidentes;66512100
66514200-8;Frachtversicherungen;Freight insurance services;Servicios de seguros de fletes;Services d'assurance fret;Serviços de seguros de frete;66514200
66516500-5;Berufshaftplichtversicherungen;Professional liability insurance services;Servicios de seguros de responsabilidad profesional;Services d'assurance de responsabilité professionnelle;Serviços de seguro de responsabilidade profissional;66516500
71311100-2;Unterstützende Leistungen im Tief- und Hochbau;Civil engineering support services;Servicios de asistencia en ingeniería civil;Services d'assistance en génie civil;Serviços auxiliares da engenharia civil;71311100
71336000-2;Unterstützende technische Tätigkeiten;Engineering support services;Servicios complementarios de ingeniería;Services d'assistance dans le domaine de l'ingénierie;Serviços de apoio em matéria de engenharia;71336000
71351800-1;Topografische Dienste und Wasseraufspürung;Topographical and water divining services;Servicios topográficos y de radiestesia;Services topographiques et services de radiesthésie;Serviços topográficos e de radiestesia;71351800
71351922-2;Ozeanografische Untersuchungen (physikalische Aspekte);Physical oceanography services;Servicios de oceanografía física;Services d'océanographie physique;Serviços de oceanografia física;71351922
71550000-8;Schmiedearbeiten;Blacksmith services;Servicios de herrería;Services de travaux de forge;Serviços de ferraria;71550000
72212216-6;Entwicklung von Software für die Netzverbindungsterminalemulation;Network connectivity terminal emulation software development services;Servicios de desarrollo de software de emulación de terminal de conectividad de redes;Services de développement de logiciels d'émulation de terminaux de connectivité au réseau;Serviços de desenvolvimento de software para emulação de terminais de conectividade de rede;72212216
72212322-2;Entwicklung von Grafiksoftware;Graphics software development services;Servicios de desarrollo de software de gráficos;Services de développement de logiciels graphiques;Serviços de desenvolvimento de software para gráficos;72212322
72212412-0;Entwicklung von Steuersoftware;Tax preparation software development services;Servicios de desarrollo de software de elaboración de declaraciones fiscales;Services de développement de logiciels de préparation de déclarations de revenus;Serviços de desenvolvimento de software para apoio fiscal;72212412
72226000-5;Beratung im Bereich Abnahmeprüfung von Systemsoftware;System software acceptance testing consultancy services;Servicios de consultoría en pruebas de aceptación del software del sistema;Services de conseil en essai d'acceptation de logiciels d'exploitation;Serviços de consultoria em matéria de testes de aceitação de software de sistema;72226000
72245000-4;Vertragliche Systemanalyse und Programmierung;Contract systems analysis and programming services;Servicios contractuales de programación y análisis de sistemas;Services contractuels d'analyse et de programmation de systèmes;Serviços de programação e análise de sistemas, em regime de contrato;72245000
72264000-3;Software-Reproduktion;Software reproduction services;Servicios de reproducción de software;Services de reproduction de logiciels;Serviços de reprodução de software;72264000
72313000-2;Datenerfassung;Data capture services;Servicios de recogida de datos;Services de capture de données;Serviços de recolha de dados;72313000
72321000-1;Mehrwert-Datenbankdienste;Added-value database services;Servicios de bases de datos con valor añadido;Services de bases de données à valeur ajoutée;Serviços de valor acrescentado relacionados com bases de dados;72321000
72413000-8;Website-Gestaltung;World wide web (www) site design services;Servicios de diseño de sitios web www;Services de conception de sites WWW (World Wide Web);Serviços de concepção de sítios da World Wide Web (WWW);72413000
72510000-3;Mit der Datenverarbeitung verbundene Verwaltungsdienste;Computer-related management services;Servicios de gestión relacionados con la informática;Services de gestion relatifs à l'informatique;Serviços de gestão relacionados com a informática;72510000
72910000-2;Computer-Backup-Dienste;Computer back-up services;Servicios de copia de seguridad;Services de secours informatique;Serviços informáticos de segurança;72910000
73300000-5;Planung und Ausführung von Forschung und Entwicklung;Design and execution of research and development;Diseño y ejecución en materia de investigación y desarrollo;Conception et exécution dans le domaine de la recherche et du développement;Concepção e execução em matéria de investigação e desenvolvimento;73300000
75200000-8;Kommunale Dienstleistungen;Provision of services to the community;Prestación de servicios para la comunidad;Prestations de services pour la collectivité;Prestação de serviços à comunidade;75200000
75320000-5;Pensionsregelung für öffentliche Bedienstete;Government employee pension schemes;Planes de pensiones de empleados públicos;Régimes de pensions des fonctionnaires de l'État;Regimes de pensões dos funcionários públicos;75320000
76211200-7;Spülschlammanalyse;Mudlogging services;Servicios de diagrafía de lodos de perforación;Services de diagraphie des boues de forage;Serviços de diagrafia de lamas;76211200
76411000-7;Einbringen von Schachtringen;Well-casing services;Servicios de revestimiento de pozos;Services de cuvelage de puits;Serviços de revestimento de poços;76411000
76431400-7;Vorbohrlochbohrungen;Rathole well-drilling services;Servicios de perforación de pozos de tamaño reducido;Services de forage des trous de rat;Serviços de abertura de furos;76431400
76460000-5;Mit Schachtbohrungen verbundene unterstützende Dienstleistungen;Well-support services;Servicios de asistencia para pozos;Services d'assistance relative aux puits;Serviços de assistência relacionados com poços;76460000
76491000-1;Abdämmungsmaßnahmen an Bohrlöchern;Well-plugging services;Servicios de colmatado de pozos;Services de bouchage de puits;Serviços de obturação de poços;76491000
76500000-8;Onshore- und Offshore-Dienste;Onshore and offshore services;Servicios prestados en tierra y en alta mar;Services onshore et offshore;Serviços onshore e offshore;76500000
77211300-5;Rodung;Tree-clearing services;Servicios de deforestación;Services de défrichement;Serviços de desbravamento;77211300
77211600-8;Aussaat von Baumsamen;Tree seeding;Siembra de árboles;Plantation d'arbres par ensemencement;Sementeira de árvores;77211600
77231700-5;Erweiterung des Waldbestandes;Forestry extension services;Servicios de extensión forestal;Services d'extension forestière;Serviços de extensão florestal;77231700
77840000-0;Dienstleistungen im Bereich Garnelenzucht;Shrimp farming services;Servicios de cría de camarones;Services liés à la crevetticulture;Serviços de cultura de camarão;77840000
79211120-3;Erstellung von Einkaufs- und Absatzberichten;Sales and purchases recording services;Servicios de registro de compras y ventas;Services d'enregistrement des ventes et des achats;Serviços de registo de compras e vendas;79211120
79311210-2;Telefon-Umfragen;Telephone survey services;Servicios de encuesta telefónica;Services d'enquête téléphonique;Serviços de inquéritos por telefone;79311210
79510000-2;Telefonauftragsdienste;Telephone-answering services;Servicios de contestación de llamadas telefónicas;Services de répondeur téléphonique;Serviços de atendimento de telefones;79510000
79611000-0;Arbeitsvermittlungsdienste;Job search services;Servicios de búsqueda de trabajo;Services de recherche d'emplois;Serviços de procura de emprego;79611000
79952000-2;Event-Organisation;Event services;Servicios de eventos;Services d'organisation d'événements;Serviços de eventos;79952000
79963000-2;Restauration, Reproduktion und Retuschieren von Aufnahmen;Photograph restoration, copying and retouching services;Servicios de restauración, copia y retocado de fotografías;Services de restauration, de copie et de retouche de photographies;Serviços de restauração, reprodução e retoque de fotografias;79963000
80512000-6;Hundeschulung;Dog training services;Servicios de adiestramiento de perros;Services de dressage de chiens;Serviços de treino de cães;80512000
80522000-9;Schulungsseminare;Training seminars;Seminarios de formación;Séminaires de formation;Seminários de formação;80522000
80531100-6;Fachausbildung;Industrial training services;Servicios de formación industrial;Services de formation industrielle;Serviços de formação industrial;80531100
80640000-2;Schulung und Simulation für Kriegsschiffe;Training and simulation in warships;Formación y simulación en materia de buques de guerra;Formation et simulation dans le domaine des navires de guerre;Formação e simulação em vasos de guerra;80640000
85111900-9;Dialysedienste von Krankenhäusern;Hospital dialysis services;Servicios de diálisis en el hospital;Services hospitaliers de dialyse;Serviços de diálise hospitalar;85111900
